Are you a University Student?,Study Program ,Year ,Do you use any kind of social media?,How many social media do you use?,Do you think social media made human life easier?,"Do you think social media like ( Zoom, Google classroom, Google meet, Skype ) made our work life more easier during the covid-19 pandemic situation?",Best social media for video conference?,How Many hours do you spent on social media ?,Do you think social media like (Tiktok and like) should be banned in India?,"How many times do you look at social media
", What are the main Advantages of social media,What are the main disadvantages of social media,What are the main reasons why you use social media ?,"Do you think teachers should use social media such as youtube, blog, fb,insta for teaching purpose?",Do you think that social media is the best way for teachers to stay in touch with students?,Do you think you will achieve better results if social media is integrated ?,Are you worried about potential abuse on social media,Lectures should increase and encourage the use of social media in the classroom,Social media provides useful platforms for academic group work?,Do you think in this pandemic situation using social media is a good choice for student?,Is social media helps to develop communication skills?,Do you think personal data is safe on social media ?, How responsive the teachers in online class?, Do you think teachers are friendly in online class,Is it possible to everyone to use social network for study purpose,Do you think that you and your peers will achieve better results if Social Media is integrated into lessons?,How would you rate that Communicating information from the school to parents., How would you ratethat An increasing number of educational institutions are using social media for promotional reasons,How would you rate that Schools are beginning to use Facebook groups to communicate with students.,"How would you rate that Members of the groups can exchange files, links, information, polls and videos very quickly",How would you rate that the Students and teachers can share information with one another.,How Pinterest is great for sharing web resources that students will find interesting or relevant.,Which of the following social media platforms do you use?  ,Do you use Social Media to communicate with your teachers?,Is Social Media a tool that should be utilised by teachers?
YES,Mba,2022,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,4-6,YES,10+,ONLINE CLASS,TIME CONSUMING,OTHERS,MAYBE,NO,MAYBE,YES,NEITHER,AGREE,YES,NO,NO,NEUTRAL,NEUTRAL,MAYBE,MAYBE,VERY POOR,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,NO,MAYBE
YES,Bba foreign trade ,2,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,CHATTING,YES,YES,MAYBE,NO,AGREE,NEITHER,YES,YES,YES,RESPONSIVE,FRIENDLY,NO,NO,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,NO,MAYBE
YES,BBA-FT,1,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,10+,COMMUNICATION,CYBERBULLYING,OTHERS,YES,YES,NEUTRAL,MAYBE,AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,NEUTRAL,NO,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA - FT ,2 nd ,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,CYBERBULLYING,OTHERS,YES,YES,YES,NEUTRAL,NEITHER,AGREE,YES,YES,NO,SOMEWHAT RESPONSIVE,NEUTRAL,YES,YES,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,YES,YES
YES,Integrated BBA-MBA,2,YES,1-5,AGREE,SOMEWHAT AGREE,GOOGLE,4-6,NEITHER,4-9,OTHERS,TIME CONSUMING,OTHERS,NEUTRAL,MAYBE,MAYBE,YES,NEITHER,AGREE,YES,MAYBE,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,NO,POOR,VERY POOR,VERY POOR,AVERAGE,AVERAGE,EXCELLENT,Linkedin,MAYBE,MAYBE
YES,BBA Foreign Trade ,2 Year,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,0,YES,1-3,COMMUNICATION,TIME CONSUMING,OTHERS,MAYBE,NO,MAYBE,NO,DISAGREE,AGREE,YES,YES,NEUTRAL,RESPONSIVE,FRIENDLY,NO,MAYBE,EXCELLENT,AVERAGE,VERY POOR,POOR,POOR,POOR,Instagram,NO,YES
YES,Bba ft,2nd,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,4-6,YES,1-3,COMMUNICATION,LAZINNESS,CHATTING,MAYBE,YES,YES,YES,SOMEWHAT AGREE,AGREE,YES,MAYBE,NO,SOMEWHAT RESPONSIVE,FRIENDLY,YES,YES,EXCELLENT,EXCELLENT,POOR,EXCELLENT,EXCELLENT,EXCELLENT,Pintrest,NEUTRAL,YES
YES,Mba,2nd,YES,1-5,DISAGREE,AGREE,GOOGLE,7+,YES,4-9,REMOTE WORKING,CYBERBULLYING,CHATTING,YES,NO,NO,YES,DISAGREE,DISAGREE,NO,NO,NO,NEUTRAL,NEUTRAL,NO,NO,EXCELLENT,POOR,POOR,AVERAGE,AVERAGE,POOR,Linkedin,NO,YES
NO,,,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,CYBERBULLYING,CHATTING,YES,YES,YES,MAYBE,SOMEWHAT AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,SOMEWHAT FRIENDLY,YES,YES,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA FT,2nd,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,YES,NEUTRAL,NO,NEITHER,AGREE,YES,YES,MAYBE,RESPONSIVE,FRIENDLY,NO,MAYBE,EXCELLENT,AVERAGE,POOR,EXCELLENT,EXCELLENT,EXCELLENT,Linkedin,NEUTRAL,YES
YES,BBA (foreign trade),2nd,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,NEITHER,1-3,COMMUNICATION,CYBERBULLYING,CHATTING,YES,MAYBE,MAYBE,NEUTRAL,AGREE,AGREE,NEUTRAL,YES,NEUTRAL,RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,YES,AVERAGE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,Instagram,NO,YES
YES,BBA,2,YES,1-5,NEITHER,AGREE,ZOOM,1-3,NO,10+,REMOTE WORKING,LAZINNESS,OTHERS,MAYBE,YES,MAYBE,YES,SOMEWHAT AGREE,AGREE,YES,YES,NEUTRAL,RESPONSIVE,FRIENDLY,NO,NEUTRAL,AVERAGE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,Instagram,YES,YES
YES,BBA F-T ,2 nd,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,4-6,YES,10+,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,YES,NO,NO,SOMEWHAT AGREE,SOMEWHAT AGREE,NEUTRAL,NEUTRAL,MAYBE,NEUTRAL,NEUTRAL,NO,NO,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,NO,MAYBE
